login,alloc_type,experiment,time
dron_a_a,T*,1110,5.22545
dron_a_a,T*,1110,4.65477
dron_a_a,T*,1110,6.05816
dron_a_a,T*,1110,6.30547
dron_a_a,T*,1110,5.78301
dron_a_a,T*,1110,8.18031
dron_a_a,T*,1110,6.36487
dron_a_a,T*,1110,6.36487
padas_o_a,T*,10,1.802
padas_o_a,T*,10,0.192
padas_o_a,T*,10,0.114
padas_o_a,T*,10,0.049
padas_o_a,T*,10,0.059
padas_o_a,T*,10,0.06
padas_o_a,T*,10,0.066
padas_o_a,T*,10,0.06
padas_o_a,T*,10,0.054
padas_o_a,T*,10,0.064
padas_o_a,T*,10,0.049
padas_o_a,T*,10,0.051
padas_o_a,T*,10,0.06
padas_o_a,T*,10,0.061
padas_o_a,T*,10,0.068
padas_o_a,T*,110,0.00223817
padas_o_a,T*,110,0.00148986
padas_o_a,T*,110,5.93539e-05
padas_o_a,T*,110,3.90684e-05
padas_o_a,T*,110,4.95868e-05
padas_o_a,T*,110,3.90684e-05
padas_o_a,T*,110,4.0571e-05
padas_o_a,T*,110,3.98197e-05
padas_o_a,T*,110,3.68144e-05
padas_o_a,T*,110,3.53118e-05
padas_o_a,T*,110,3.75657e-05
padas_o_a,T*,110,3.75657e-05
padas_o_a,T*,110,4.35763e-05
padas_o_a,T*,110,3.68144e-05
padas_o_a,T*,110,3.75657e-05
padas_o_a,T*,210,0.000204298
padas_o_a,T*,210,0.000175683
padas_o_a,T*,210,0.000167153
padas_o_a,T*,210,0.000166721
padas_o_a,T*,210,0.000187993
padas_o_a,T*,210,0.000169744
padas_o_a,T*,210,0.000165425
padas_o_a,T*,210,0.000162941
padas_o_a,T*,210,0.000164453
padas_o_a,T*,210,0.000163697
padas_o_a,T*,210,0.000161862
padas_o_a,T*,210,0.000163913
padas_o_a,T*,210,0.000161322
padas_o_a,T*,210,0.000194148
padas_o_a,T*,210,0.000162186
padas_o_a,T*,310,5.17942e-05
padas_o_a,T*,310,0.000769192
padas_o_a,T*,310,6.20657e-05
padas_o_a,T*,310,5.92796e-05
padas_o_a,T*,310,5.94811e-05
padas_o_a,T*,310,6.45161e-05
padas_o_a,T*,310,6.00181e-05
padas_o_a,T*,310,5.94475e-05
padas_o_a,T*,310,5.95482e-05
padas_o_a,T*,310,5.89104e-05
padas_o_a,T*,310,0.000481823
padas_o_a,T*,310,5.55201e-05
padas_o_a,T*,310,5.73663e-05
padas_o_a,T*,310,5.65607e-05
padas_o_a,T*,310,6.09916e-05
padas_o_a,T*,410,2.58267e-05
padas_o_a,T*,410,2.45644e-05
padas_o_a,T*,410,2.50432e-05
padas_o_a,T*,410,2.44338e-05
padas_o_a,T*,410,2.44193e-05
padas_o_a,T*,410,2.47094e-05
padas_o_a,T*,410,2.58847e-05
padas_o_a,T*,410,2.65812e-05
padas_o_a,T*,410,2.64941e-05
padas_o_a,T*,410,2.61894e-05
padas_o_a,T*,410,2.58557e-05
padas_o_a,T*,410,2.59282e-05
padas_o_a,T*,410,2.52318e-05
padas_o_a,T*,410,2.4753e-05
padas_o_a,T*,410,2.62329e-05
padas_o_a,T*,510,1.38484e-05
padas_o_a,T*,510,1.37579e-05
padas_o_a,T*,510,1.34337e-05
padas_o_a,T*,510,1.35317e-05
padas_o_a,T*,510,0.000108442
padas_o_a,T*,510,1.26799e-05
padas_o_a,T*,510,1.27402e-05
padas_o_a,T*,510,1.36524e-05
padas_o_a,T*,510,1.1715e-05
padas_o_a,T*,510,1.14662e-05
padas_o_a,T*,510,1.15114e-05
padas_o_a,T*,510,1.16396e-05
padas_o_a,T*,510,1.15114e-05
padas_o_a,T*,510,1.14813e-05
padas_o_a,T*,510,1.14436e-05
padas_o_a,T*,610,8.7395e-05
padas_o_a,T*,610,8.82012e-06
padas_o_a,T*,610,8.45005e-06
padas_o_a,T*,610,8.76725e-06
padas_o_a,T*,610,8.45886e-06
padas_o_a,T*,610,8.86858e-06
padas_o_a,T*,610,8.69236e-06
padas_o_a,T*,610,7.65262e-06
padas_o_a,T*,610,8.70557e-06
